feature_set,classifier,trial_number,state,kappa,k_best,use_smote,mlp_hidden1,mlp_hidden2,mlp_alpha,mlp_lr
B,MLP,0,COMPLETE,0.9109048221516698,76,True,83,12,6.025215736203862e-06,0.00014936568554617635
B,MLP,1,COMPLETE,0.9379535604206535,150,False,16,118,0.014528246637516038,0.0004335281794951569
B,MLP,2,COMPLETE,0.946775949747528,47,False,68,26,2.8585493941961936e-05,0.006847920095574782
B,MLP,3,PRUNED,0.9401599864329482,41,False,56,70,9.962513222055122e-06,0.003489018845491387
B,MLP,4,PRUNED,0.9355381454697993,109,False,25,9,0.055517216852447225,0.07886714129990492
B,MLP,5,COMPLETE,0.9529779263507692,142,True,106,26,4.075596440072871e-06,0.0030586566669785274
B,MLP,6,PRUNED,0.9401468593790354,25,True,99,18,0.00039841905944346893,0.004366473592979638
B,MLP,7,PRUNED,0.9291222158261544,47,True,216,95,0.000976112544311046,0.058293845429947415
B,MLP,8,PRUNED,0.9379486250583862,33,True,39,23,2.2737628102536852e-05,0.030634622106220845
B,MLP,9,PRUNED,0.9136542786516115,73,False,23,73,2.359137306347714e-06,0.09133995846860977
B,MLP,10,COMPLETE,0.9565387027976359,160,True,115,24,1.6107167646304654e-06,0.000977191477358841
B,MLP,11,PRUNED,0.9467644888150132,138,True,109,35,7.695322435733988e-06,0.0045350946347798415
B,MLP,12,COMPLETE,0.9618407229493855,156,True,246,8,1.4541124014428773e-06,0.0010297209189344167
B,MLP,13,PRUNED,0.9478931539577029,164,True,67,8,2.06650321382933e-06,0.00021309042133062667
B,MLP,14,PRUNED,0.9380147163599278,136,False,151,8,1.143670920130995e-06,0.011480826114649024
B,MLP,15,COMPLETE,0.9645023137742414,164,True,237,8,2.8101171520752326e-06,0.0014608448631420008
B,MLP,16,PRUNED,0.9500990002033849,156,True,255,11,4.409285141259838e-05,0.0028380970912046054
B,MLP,17,PRUNED,0.9378011558914059,168,True,75,8,3.4892477735770386e-06,0.028774590674098665
B,MLP,18,PRUNED,0.9489633698256582,106,True,184,8,1.1575946929012674e-06,0.0018782496351270874
B,MLP,19,PRUNED,0.9467308896805156,148,False,203,8,1.3867552539827581e-06,0.00038963510499060285
B,MLP,20,PRUNED,0.9401379995637082,129,True,111,11,0.0013885694542747377,0.0001587400647202372
B,MLP,21,PRUNED,0.9522924750258673,143,True,176,34,5.682263363443777e-06,0.0001421011168722028
B,MLP,22,PRUNED,0.9523080033648927,152,True,236,15,1.9360881064844684e-06,0.0005728817306866158
B,MLP,23,COMPLETE,0.9600471368035297,163,True,123,9,2.1757959905994063e-06,0.002759113864932425
B,MLP,24,PRUNED,0.9379015916225022,146,True,252,11,4.177745270215153e-06,0.011169484840997616
B,MLP,25,COMPLETE,0.956507528165784,167,True,135,8,5.924874020873636e-06,0.0005551727110962948
B,MLP,26,PRUNED,0.9500650576686241,135,True,249,8,2.3308190757432884e-06,0.000600563189514195
B,MLP,27,PRUNED,0.9522828482722807,130,True,92,8,0.00016420932418125922,0.0032819362629400973
B,MLP,28,PRUNED,0.9512361832597742,169,False,88,11,6.874733603212241e-05,0.0009245673052762557
B,MLP,29,PRUNED,0.9490292093139572,144,True,120,8,1.3353260006742554e-06,0.00394899664569028
B,MLP,30,PRUNED,0.9489776654092312,145,True,85,85,0.0008865173701807036,0.0005148931313607937
B,MLP,31,PRUNED,0.944522407705886,50,False,17,31,0.008890332802443794,0.004892686624078105
B,MLP,32,COMPLETE,0.9653841542337895,156,True,76,19,0.043073944922465364,0.004777298196028804
B,MLP,33,PRUNED,0.9522959143207108,141,True,84,18,0.013165802000937732,0.0034148588509726905
B,MLP,34,PRUNED,0.9512199671492244,149,True,43,34,0.03356344268427567,0.00399454059962809
B,MLP,35,COMPLETE,0.9627275087841454,170,True,229,8,1.6022382969932417e-06,0.0008316181989108263
B,MLP,36,PRUNED,0.9334596971821635,155,False,85,15,0.06269921812104111,0.010580420079206102
B,MLP,37,PRUNED,0.9511860871240312,139,True,100,35,0.018011843550193585,0.052800876272726206
B,MLP,38,COMPLETE,0.9600620188761813,170,True,169,26,0.007584420302495762,0.0016726460656575192
B,MLP,39,COMPLETE,0.965390725109161,167,False,238,18,1.2448355120165708e-05,0.0031074094789917232
B,MLP,40,PRUNED,0.9544942161647552,155,False,194,21,2.586629901878348e-05,0.007006655817241718
B,MLP,41,PRUNED,0.9467500733066172,152,False,250,20,4.6179893596042146e-05,0.0012943062641392318
B,MLP,42,COMPLETE,0.9618509021754965,160,True,224,9,2.9639659687398538e-06,0.0007286555741951793
B,MLP,43,COMPLETE,0.9618426604947636,169,False,227,14,2.4189103471360066e-06,0.00229713481503796
B,MLP,44,PRUNED,0.955640823875155,160,True,50,26,0.033049705327135276,0.00010667389581988535
B,MLP,45,PRUNED,0.9545089496779704,165,True,57,11,0.04573037447397343,0.005885970342628086
B,MLP,46,PRUNED,0.9545239817961936,146,False,230,45,2.2487432219993216e-06,0.0018997041843547805
B,MLP,47,PRUNED,0.9335023056265754,50,False,49,33,0.0070791537613325095,0.00013405925364481987
B,MLP,48,PRUNED,0.9445578442130824,93,True,23,12,0.012033317592066202,0.0006731214028645833
B,MLP,49,PRUNED,0.9313262404537141,81,True,23,72,0.00011760144676294218,0.002092820305943042
B,MLP,50,PRUNED,0.9378895935657054,74,False,102,97,0.00015115931437822215,0.0004002183800522843
B,MLP,51,PRUNED,0.9556225908905525,162,False,152,13,1.0102273117948068e-05,0.004000743095368906
B,MLP,52,COMPLETE,0.9662816256997578,167,False,210,16,2.625128218889049e-06,0.001040591342314304
B,MLP,53,PRUNED,0.9422784860595154,96,True,66,109,1.4735153957719043e-06,0.00035300561105052755
