feature_set,feature_set_desc,classifier,kappa_cv_best,kappa_mean,kappa_std,acc_mean,acc_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,auc_mean,auc_std,n_seeds,n_trials,trials_completed,trials_pruned,elapsed_s,param_k_best,param_use_smote,param_mlp_hidden1,param_mlp_hidden2,param_mlp_alpha,param_mlp_lr,f1_healthy_mean,f1_healthy_std,f1_pathology_mean,f1_pathology_std,param_svm_lin_C,param_svm_rbf_C,param_svm_rbf_gamma_mode,param_svm_poly_C,param_svm_poly_degree,param_svm_poly_coef0,param_knn_n_neighbors,param_knn_weights,param_knn_p,param_rf_n_estimators,param_rf_max_depth,param_rf_min_samples_split,param_rf_min_samples_leaf,param_rf_max_features,param_svm_rbf_gamma_val
B,comp+EEFGabor (sin FOSP),MLP,0.969,0.9534,0.0062,0.9769,0.0031,0.9841,0.0026,0.9684,0.0051,0.9975,0.0005,8,150,40,110,493.9,156,True,252,12,0.00010420971911205567,0.005907774843291065,0.9748,0.0034,0.9786,0.0028,,,,,,,,,,,,,,,
B,comp+EEFGabor (sin FOSP),SVM-lineal,0.9184,0.9086,0.0052,0.9546,0.0026,0.9623,0.0022,0.9457,0.0036,0.9898,0.0006,8,150,44,106,1654.4,170,True,,,,,0.9506,0.0028,0.9579,0.0024,0.007629311636155718,,,,,,,,,,,,,,
B,comp+EEFGabor (sin FOSP),SVM-RBF,0.9707,0.9632,0.0055,0.9817,0.0027,0.9905,0.002,0.9715,0.0049,0.998,0.0004,8,150,26,124,212.7,162,False,,,,,0.98,0.003,0.9831,0.0025,,8306.809371557034,auto,,,,,,,,,,,,
B,comp+EEFGabor (sin FOSP),SVM-polinomial,0.9707,0.9623,0.004,0.9813,0.002,0.99,0.001,0.9712,0.0036,0.998,0.0004,8,150,41,109,126.1,159,True,,,,,0.9796,0.0022,0.9827,0.0018,,,,0.12597678789717032,4,1.3909440279225762,,,,,,,,,
B,comp+EEFGabor (sin FOSP),kNN,0.9618,0.9581,0.0044,0.9792,0.0022,0.9867,0.002,0.9704,0.0039,0.9963,0.0009,8,150,42,108,15.7,170,False,,,,,0.9773,0.0024,0.9807,0.002,,,,,,,4,distance,1,,,,,,
B,comp+EEFGabor (sin FOSP),RandomForest,0.9556,0.952,0.0051,0.9762,0.0026,0.9886,0.0019,0.9617,0.0042,0.9974,0.0004,8,150,55,95,419.4,168,False,,,,,0.9739,0.0028,0.9781,0.0023,,,,,,,,,,234,16,4,1,0.3,
C,FOSP+comp+EEFGabor (sin reducción),MLP,0.9538,0.9465,0.0042,0.9734,0.0021,0.9803,0.0032,0.9654,0.0034,0.9969,0.0004,8,150,16,134,344.2,111,True,226,8,1.1074509588953875e-06,0.006069926394410037,0.9711,0.0023,0.9754,0.0019,,,,,,,,,,,,,,,
C,FOSP+comp+EEFGabor (sin reducción),SVM-lineal,0.9104,0.9039,0.004,0.9522,0.002,0.9558,0.0028,0.948,0.0027,0.9888,0.0007,8,150,29,121,1502.6,195,False,,,,,0.9483,0.0021,0.9556,0.0018,0.008642117901836232,,,,,,,,,,,,,,
C,FOSP+comp+EEFGabor (sin reducción),SVM-RBF,0.96,0.9558,0.0024,0.9781,0.0012,0.9882,0.0014,0.9663,0.0029,0.9975,0.0003,8,150,29,121,219.8,194,True,,,,,0.976,0.0013,0.9798,0.0011,,38.605463533205395,scale,,,,,,,,,,,,
C,FOSP+comp+EEFGabor (sin reducción),SVM-polinomial,0.9601,0.9537,0.0039,0.977,0.002,0.9827,0.0023,0.9704,0.0034,0.9973,0.0002,8,150,31,119,120.3,191,True,,,,,0.975,0.0021,0.9787,0.0018,,,,2.9979293470946367,3,0.9983842200224835,,,,,,,,,
