mode,feature_set,classifier,cond_A,cond_B,p_raw,p_bonf,cohens_d,significant
multiclass,B,MLP,S-1s,G-1s,0.542404,0.542404,0.2529,False
multiclass,B,SVM-lineal,S-1s,G-1s,0.13364,0.13364,-0.3995,False
multiclass,B,SVM-RBF,S-1s,G-1s,0.89486,0.89486,0.0401,False
multiclass,B,SVM-polinomial,S-1s,G-1s,0.633827,0.633827,-0.161,False
multiclass,B,kNN,S-1s,G-1s,0.003419,0.003419,-0.6815,True
multiclass,B,RandomForest,S-1s,G-1s,0.209939,0.209939,-0.2193,False
multiclass,C,MLP,S-1s,G-1s,0.873988,0.873988,0.1004,False
multiclass,C,SVM-lineal,S-1s,G-1s,0.615043,0.615043,0.1425,False
multiclass,C,SVM-RBF,S-1s,G-1s,0.578206,0.578206,-0.036,False
multiclass,C,SVM-polinomial,S-1s,G-1s,0.299612,0.299612,-0.3364,False
multiclass,C,kNN,S-1s,G-1s,0.090316,0.090316,-0.6136,False
multiclass,C,RandomForest,S-1s,G-1s,0.252104,0.252104,-0.3037,False
multiclass,D,MLP,S-1s,G-1s,0.18173,0.18173,-0.4329,False
multiclass,D,SVM-lineal,S-1s,G-1s,0.832509,0.832509,-0.2164,False
multiclass,D,SVM-RBF,S-1s,G-1s,0.062626,0.062626,-0.5553,False
multiclass,D,SVM-polinomial,S-1s,G-1s,0.025505,0.025505,-0.6694,True
multiclass,D,kNN,S-1s,G-1s,0.81193,0.81193,-0.0406,False
multiclass,D,RandomForest,S-1s,G-1s,0.126648,0.126648,-0.4042,False
multiclass,E,MLP,S-1s,G-1s,0.018745,0.018745,-0.6552,True
multiclass,E,SVM-lineal,S-1s,G-1s,0.156338,0.156338,-0.4976,False
multiclass,E,SVM-RBF,S-1s,G-1s,0.190814,0.190814,-0.3714,False
multiclass,E,SVM-polinomial,S-1s,G-1s,0.380984,0.380984,-0.2914,False
multiclass,E,kNN,S-1s,G-1s,0.126648,0.126648,-0.5161,False
multiclass,E,RandomForest,S-1s,G-1s,0.89486,0.89486,-0.1037,False
binary,B,MLP,S-1s,G-1s,0.490786,0.490786,-0.1425,False
binary,B,SVM-lineal,S-1s,G-1s,0.007371,0.007371,-0.5645,True
binary,B,SVM-RBF,S-1s,G-1s,0.886397,0.886397,-0.033,False
binary,B,SVM-polinomial,S-1s,G-1s,0.915803,0.915803,-0.0747,False
binary,B,kNN,S-1s,G-1s,0.886403,0.886403,-0.0643,False
binary,B,RandomForest,S-1s,G-1s,0.978915,0.978915,-0.1223,False
binary,C,MLP,S-1s,G-1s,0.325392,0.325392,-0.3006,False
binary,C,SVM-lineal,S-1s,G-1s,0.18173,0.18173,-0.4225,False
binary,C,SVM-RBF,S-1s,G-1s,0.615043,0.615043,-0.0767,False
binary,C,SVM-polinomial,S-1s,G-1s,0.8532,0.8532,-0.0733,False
binary,C,kNN,S-1s,G-1s,0.936803,0.936803,-0.0688,False
binary,C,RandomForest,S-1s,G-1s,0.290446,0.290446,-0.3088,False
binary,D,MLP,S-1s,G-1s,0.490786,0.490786,-0.1836,False
binary,D,SVM-lineal,S-1s,G-1s,0.457846,0.457846,0.1945,False
binary,D,SVM-RBF,S-1s,G-1s,0.652841,0.652841,-0.0996,False
binary,D,SVM-polinomial,S-1s,G-1s,0.182876,0.182876,0.385,False
binary,D,kNN,S-1s,G-1s,0.903168,0.903168,0.0406,False
binary,D,RandomForest,S-1s,G-1s,0.52963,0.52963,-0.1831,False
binary,E,MLP,S-1s,G-1s,0.989266,0.989266,0.02,False
binary,E,SVM-lineal,S-1s,G-1s,0.287229,0.287229,-0.1965,False
binary,E,SVM-RBF,S-1s,G-1s,0.475805,0.475805,-0.2152,False
binary,E,SVM-polinomial,S-1s,G-1s,0.957845,0.957845,-0.1548,False
binary,E,kNN,S-1s,G-1s,0.312333,0.312333,-0.1755,False
binary,E,RandomForest,S-1s,G-1s,0.931694,0.931694,-0.0175,False
