feature_set,classifier,trial_number,state,kappa,k_best,use_smote,mlp_hidden1,mlp_hidden2,mlp_alpha,mlp_lr
B,MLP,0,COMPLETE,0.8716133037415075,76,True,83,12,6.025215736203862e-06,0.00014936568554617635
B,MLP,1,PRUNED,0.8759400692758601,150,False,16,118,0.014528246637516038,0.0004335281794951569
B,MLP,2,PRUNED,0.9009961627653423,47,False,68,26,2.8585493941961936e-05,0.006847920095574782
B,MLP,3,PRUNED,0.8789072759307235,41,False,56,70,9.962513222055122e-06,0.003489018845491387
B,MLP,4,PRUNED,0.8522478427942008,109,False,25,9,0.055517216852447225,0.07886714129990492
B,MLP,5,PRUNED,0.9099525623116343,142,True,106,26,4.075596440072871e-06,0.0030586566669785274
B,MLP,6,PRUNED,0.8880701638683837,25,True,99,18,0.00039841905944346893,0.004366473592979638
B,MLP,7,PRUNED,0.8177965950612693,47,True,216,95,0.000976112544311046,0.058293845429947415
B,MLP,8,PRUNED,0.8760545714492174,33,True,39,23,2.2737628102536852e-05,0.030634622106220845
B,MLP,9,PRUNED,0.8465446191745299,73,False,23,73,2.359137306347714e-06,0.09133995846860977
B,MLP,10,PRUNED,0.8878057242903461,49,True,82,12,2.725053518871101e-05,0.00018450463532396802
B,MLP,11,PRUNED,0.9076226178981139,138,True,109,35,7.695322435733988e-06,0.0045350946347798415
B,MLP,12,PRUNED,0.8922319456131624,113,True,39,10,5.1392707344358256e-06,0.0025454798854707534
B,MLP,13,PRUNED,0.9106897459484431,137,False,124,19,0.000237149565007249,0.0003198658367512297
B,MLP,14,PRUNED,0.9121267831313049,130,False,116,31,0.00031056417837048135,0.00047209850122468784
B,MLP,15,PRUNED,0.8966766849329422,115,False,113,24,0.020989037799100402,0.0028625564288231385
B,MLP,16,PRUNED,0.9084983295933525,105,True,249,13,0.00010922639698803191,0.0007299883582285515
B,MLP,17,PRUNED,0.8923094147678743,103,False,46,45,0.000274116614307922,0.00025772652663268733
B,MLP,18,COMPLETE,0.910746070945691,85,False,174,87,4.1025806662821685e-05,0.0005075366428603133
B,MLP,19,PRUNED,0.9128725752584842,99,False,171,87,1.8209860943554927e-05,0.0028008820742541117
B,MLP,20,PRUNED,0.8893464225397516,22,True,120,49,1.4019039846458441e-05,0.00017847717068057307
B,MLP,21,PRUNED,0.9122016660340415,89,False,235,106,3.401445518471271e-05,0.0011237447610318676
B,MLP,22,PRUNED,0.8644287375136432,86,False,164,76,2.777706821365178e-05,0.04155398593775326
B,MLP,23,PRUNED,0.8922970802428687,137,False,105,118,2.693165683731765e-05,0.004532154595511224
B,MLP,24,PRUNED,0.9121187346683736,54,False,130,44,2.6066717160020725e-05,0.0005187932123288581
B,MLP,25,PRUNED,0.9099524228192131,113,True,70,8,1.1995815843455977e-05,0.00011358233565579242
B,MLP,26,PRUNED,0.8964368923679964,154,False,214,71,5.562528630272906e-06,0.00017802697123675426
B,MLP,27,COMPLETE,0.9090010799981183,59,True,91,109,5.0199441641890605e-05,0.0017036176212181211
B,MLP,28,PRUNED,0.9055289738341418,94,True,84,96,3.95077524441532e-05,0.000744935108657828
B,MLP,29,PRUNED,0.8982512014840568,36,True,69,83,0.00034988819951249547,0.0013622789143577035
B,MLP,30,PRUNED,0.9092224855405079,86,True,109,26,1.3642372796783559e-06,0.00027840152572888686
B,MLP,31,COMPLETE,0.9107567122691682,74,False,130,77,0.0018249099943429387,0.00018666665868819743
B,MLP,32,PRUNED,0.9010739896798823,59,False,181,68,0.0037844118561306587,0.0002480781437898862
B,MLP,33,PRUNED,0.8950160558297005,45,False,131,98,0.00019526309170504445,0.0007550993822448078
B,MLP,34,PRUNED,0.8849847759009251,78,False,71,106,0.00426656341672832,0.0002621619818295481
B,MLP,35,PRUNED,0.8996385664056419,62,True,183,123,2.3803463609328006e-05,0.0025770416708405216
B,MLP,36,COMPLETE,0.9095915442556002,76,True,237,94,0.0002795746546064789,0.00018223099991433357
B,MLP,37,PRUNED,0.9128685373373526,109,True,231,123,0.0002953529068359091,0.00011825977792760074
B,MLP,38,COMPLETE,0.9101738462355369,68,True,84,32,0.0006875062519325589,0.00014003974445151118
B,MLP,39,PRUNED,0.8980491528780867,53,True,108,26,0.005031786608873675,0.0002265771243583011
B,MLP,40,COMPLETE,0.9125157666969622,60,True,236,102,0.004888545646869333,0.001336509609954538
B,MLP,41,PRUNED,0.8981350603617329,63,True,250,89,0.011958367215704887,0.0005776490653195359
B,MLP,42,PRUNED,0.8834706290303084,65,True,40,35,0.0008453344823719548,0.0006259113530021808
B,MLP,43,PRUNED,0.8820864890275604,100,True,49,20,0.0010181881672103924,0.00015849439638437494
B,MLP,44,PRUNED,0.8996299143114321,58,True,103,123,0.00162338190983035,0.00017407905063936051
B,MLP,45,COMPLETE,0.9131395127774635,59,True,201,53,0.00010571178311094377,0.0005016825064300059
B,MLP,46,PRUNED,0.8950944298713157,42,True,182,43,2.5572416734556137e-05,0.0024439647241992213
B,MLP,47,COMPLETE,0.9060575410220022,85,True,175,40,0.0024050403077848304,0.002898359339759694
B,MLP,48,PRUNED,0.8937578591630303,71,True,73,47,0.00020300285728262602,0.00015793008845959962
B,MLP,49,COMPLETE,0.9161235073274387,62,True,155,107,0.004095526717238461,0.004734392880286245
B,MLP,50,PRUNED,0.8953690703405479,93,True,104,120,0.0022265912233108377,0.005173772821539525
B,MLP,51,COMPLETE,0.9137545100520457,68,False,105,66,0.007697243072240795,0.011587077394962233
B,MLP,52,PRUNED,0.8996848497601415,104,False,113,86,0.018050308465266115,0.008494670632845083
B,MLP,53,PRUNED,0.8864430724597367,31,True,173,82,0.008831110017446048,0.005117152602800993
B,MLP,54,PRUNED,0.8703091358470256,61,False,194,63,0.013624549999757802,0.01132696367690373
B,MLP,55,COMPLETE,0.9131916939935071,58,False,87,50,0.004940129741597805,0.0049311357998858005
B,MLP,56,PRUNED,0.9010421572177537,59,False,65,38,0.0015517035195412156,0.012734774492456516
B,MLP,57,PRUNED,0.7772668782689269,61,False,78,61,0.004316936161629218,0.07688980892423723
B,MLP,58,PRUNED,0.8907129857232954,20,False,81,49,0.0018470643663711338,0.004143537634535548
B,MLP,59,PRUNED,0.9077641875584271,85,False,80,51,0.004453115532969441,0.0016396833064572613
B,MLP,60,COMPLETE,0.9166972510003903,70,True,82,8,0.04337693321695696,0.010462010511710857
B,MLP,61,PRUNED,0.8923544114711912,83,True,105,15,0.025716545905228854,0.019458950898725666
B,MLP,62,PRUNED,0.8937293577136679,94,True,226,115,0.007475805928497056,0.009258386183574148
B,MLP,63,PRUNED,0.8818128539822941,77,False,99,9,0.020382213890395764,0.010259205140711632
B,MLP,64,PRUNED,0.8966257683021076,71,True,30,9,0.0044763474706782476,0.01745643016717639
B,MLP,65,PRUNED,0.89383948389259,96,True,47,8,0.04465267306708221,0.009793073661017391
B,MLP,66,COMPLETE,0.9119348611855539,57,True,143,8,0.02350357630667009,0.00719918722093974
B,MLP,67,PRUNED,0.893848693866383,23,True,128,11,0.004712613939490763,0.01698811018508899
B,MLP,68,PRUNED,0.8761541552395244,56,True,223,8,0.016818267594259063,0.005556522436271909
B,MLP,69,PRUNED,0.8848350008829067,35,True,99,8,0.045579001700087204,0.01105931791321171
B,MLP,70,COMPLETE,0.9119787942320962,62,True,241,28,1.433237034033522e-05,0.0003454339612848712
B,MLP,71,PRUNED,0.896721142591451,104,True,238,50,5.610253532840487e-06,0.0005532653701758373
B,MLP,72,PRUNED,0.8952914098695024,29,True,221,18,1.3264943911913922e-06,0.0002926102313168301
B,MLP,73,PRUNED,0.8996804660421689,72,True,166,37,2.0001882907290122e-05,0.0006889359943897993
B,MLP,74,PRUNED,0.8658920856829906,41,False,39,79,0.027725251238315624,0.01624184975685903
B,MLP,75,PRUNED,0.8966746124717355,79,True,242,13,5.808740493390661e-06,0.00023540757338099492
B,MLP,76,PRUNED,0.898132678522237,57,True,83,10,0.05039724890400431,0.002461446691343946
B,MLP,77,PRUNED,0.8980779761250686,61,True,181,80,0.0006496925680632763,0.0011145450597910777
B,MLP,78,PRUNED,0.8967655035404568,102,True,147,8,0.003246790040283244,0.002640463468374636
B,MLP,79,PRUNED,0.9135777758636939,75,False,191,30,1.5801609030280591e-06,0.00010428597462789205
B,MLP,80,PRUNED,0.8980704910404957,47,False,100,85,0.06931342348714213,0.002154458953627613
B,MLP,81,PRUNED,0.8922387626697521,27,True,165,26,9.652703133932788e-05,0.00046906754355481004
B,MLP,82,PRUNED,0.9055000213354414,72,True,197,35,9.41313550416154e-06,0.00012401476504290807
B,MLP,83,COMPLETE,0.911233002320453,120,False,107,116,0.003755474229332026,0.00012503012941633685
B,MLP,84,PRUNED,0.9010812803919968,136,False,119,126,0.006721949025429058,0.00011306242612931652
B,MLP,85,PRUNED,0.8893646086343145,134,True,65,96,0.009963155290562492,0.00013240618114607338
B,MLP,86,PRUNED,0.9032028826581018,63,True,56,101,0.06784592536732235,0.00710692007092853
B,MLP,87,COMPLETE,0.9125123823666911,61,True,149,110,0.011293232016536798,0.002061404096437456
B,MLP,88,PRUNED,0.89934798732404,43,True,139,125,0.001994793863462325,0.008884059031528018
B,MLP,89,PRUNED,0.893747938750848,74,True,120,84,0.020822694427374087,0.003942477708536173
B,MLP,90,PRUNED,0.8801613735145667,45,True,205,122,0.01087392313738688,0.002411883559139144
B,MLP,91,PRUNED,0.8996560526493276,94,False,146,34,0.0012020994057228259,0.010905629694988907
B,MLP,92,PRUNED,0.8908087910923139,119,False,95,125,0.000498123725555657,0.00014857173824534226
B,MLP,93,PRUNED,0.8832159259502177,69,False,103,43,0.040138646353876664,0.025475880129851195
B,MLP,94,PRUNED,0.8996091301318917,68,False,80,111,0.0025417972275831374,0.009308634876766985
B,MLP,95,COMPLETE,0.9125171274141805,112,False,154,95,0.007080865733031155,0.0007874253212861081
B,MLP,96,PRUNED,0.8876439007727001,151,False,250,100,0.0012364740418883838,0.0009035214905598957
B,MLP,97,PRUNED,0.9025398736106909,121,False,230,115,0.02397616547124281,0.003927067836776156
B,MLP,98,COMPLETE,0.9095445668218638,117,False,139,52,0.004129492089283925,0.0017588249050486985
B,MLP,99,PRUNED,0.8599857267454166,50,False,17,15,6.777123502550818e-06,0.0004719039489803352
B,MLP,100,PRUNED,0.8980163216696819,112,False,138,93,0.0069508487768810915,0.0007163978255314475
B,MLP,101,PRUNED,0.8996672331576585,94,True,130,90,0.011751480104961328,0.0009167653686455362
B,MLP,102,PRUNED,0.8286602602423657,51,True,205,8,0.024278370368266963,0.099621834541227
B,MLP,103,COMPLETE,0.9166181957481839,133,False,78,45,0.005912348307686628,0.00022279149632093247
B,MLP,104,PRUNED,0.896571319483581,153,False,53,37,0.0002027170277274559,0.0002156676330077717
B,MLP,105,PRUNED,0.8982244590523827,155,False,41,21,0.016339658401957398,0.0003260331376857403
B,MLP,106,PRUNED,0.909985169773671,136,False,37,56,0.01818044478344953,0.0012587467305206178
B,MLP,107,PRUNED,0.9062087341472392,72,True,154,101,0.0011498408127598291,0.0016735152728524535
B,MLP,108,PRUNED,0.9010912364294306,66,True,100,48,0.00021719451860232738,0.027736826776521537
B,MLP,109,PRUNED,0.9068801448314281,144,False,119,30,0.059667882822684606,0.0002287824316919895
B,MLP,110,PRUNED,0.8830560836719556,83,True,77,8,0.006843167823385941,0.056784787624504326
B,MLP,111,COMPLETE,0.9131183640144048,65,False,165,18,0.0007115247420653081,0.000782009184398268
B,MLP,112,PRUNED,0.9076843317412434,102,False,72,46,0.0057869382387416264,0.00026421833238249434
B,MLP,113,PRUNED,0.8952860154935316,80,False,85,17,0.00240878955374651,0.0011144975318366926
B,MLP,114,COMPLETE,0.9137535715473091,64,False,151,8,0.0003635994976930902,0.0011653773146148942
B,MLP,115,PRUNED,0.8907538424719768,24,False,119,13,0.0005694991930025159,0.0005352022541288911
B,MLP,116,PRUNED,0.9151141163697487,59,False,128,13,0.00033424025515070224,0.004276888286565477
B,MLP,117,PRUNED,0.9150602725136743,103,False,221,9,0.00028074640112732207,0.000985998566171961
B,MLP,118,PRUNED,0.8922000505804538,62,False,151,10,0.0023744210946771475,0.0018354948662320937
B,MLP,119,PRUNED,0.8790464693097708,38,False,245,8,1.3230410360808856e-05,0.0008110315204085405
B,MLP,120,PRUNED,0.8832467354873934,44,False,193,35,0.002812237743545238,0.001612823505125454
B,MLP,121,PRUNED,0.732719018579561,126,False,40,105,9.143885993548111e-05,0.07411030442009994
B,MLP,122,PRUNED,0.8965919037431715,55,False,224,16,0.0014351396791340005,0.00010223961111533937
B,MLP,123,PRUNED,0.9054196665446044,55,False,103,9,4.4037617634513736e-05,0.0005638343184456319
B,MLP,124,COMPLETE,0.9107533471682794,58,False,220,24,1.676093826469259e-05,0.0005263382329233928
B,MLP,125,PRUNED,0.8815978237442963,102,True,20,15,3.119062764585445e-05,0.03789668147923763
B,MLP,126,PRUNED,0.8996195371594247,78,True,241,26,5.279858054886984e-05,0.0004431545945595541
B,MLP,127,PRUNED,0.9011416508641388,87,False,134,21,0.0003990461674657218,0.00046269250151635243
B,MLP,128,COMPLETE,0.9114208157011696,76,True,229,69,0.03388926298385511,0.002854872651136613
B,MLP,129,PRUNED,0.8922020701328163,42,True,172,52,0.0012951725800262322,0.0002871998385684537
B,MLP,130,PRUNED,0.895239275657633,74,True,73,10,0.006148155021705585,0.003824604723906995
B,MLP,131,PRUNED,0.871431985460063,158,True,36,33,0.0010432796671402478,0.0307913656282127
B,MLP,132,PRUNED,0.9077321806833308,81,True,201,57,0.01938566617653602,0.0031610711568272115
B,MLP,133,COMPLETE,0.9119526431998212,61,False,116,58,0.0064722360293888405,0.005415212057086069
B,MLP,134,PRUNED,0.883328944186855,68,False,18,70,0.018478598911979418,0.0002113132927867786
B,MLP,135,PRUNED,0.8878016040936481,136,False,42,51,0.0106225599890794,0.00012214056835185277
