feature_set,feature_set_desc,classifier,kappa_cv_best,kappa_mean,kappa_std,acc_mean,acc_std,n_seeds,n_trials,trials_completed,trials_pruned,elapsed_s,param_k_best,param_use_smote,param_mlp_hidden1,param_mlp_hidden2,param_mlp_alpha,param_mlp_lr,f1_asphyxia_mean,f1_asphyxia_std,f1_deaf_mean,f1_deaf_std,f1_hunger_mean,f1_hunger_std,f1_normal_mean,f1_normal_std,f1_pain_mean,f1_pain_std,param_svm_lin_C,param_svm_rbf_C,param_svm_rbf_gamma_mode,param_svm_poly_C,param_svm_poly_degree,param_svm_poly_coef0,param_knn_n_neighbors,param_knn_weights,param_knn_p,param_rf_n_estimators,param_rf_max_depth,param_rf_min_samples_split,param_rf_min_samples_leaf,param_rf_max_features
B,comp+EEFGabor (sin FOSP),MLP,0.9185,0.9165,0.004,0.9377,0.003,8,150,29,121,915.7,58,True,184,27,0.06877756532308661,0.0032233678100944685,0.9494,0.0066,0.9976,0.0008,0.8481,0.0106,0.9583,0.0027,0.7504,0.0207,,,,,,,,,,,,,,
B,comp+EEFGabor (sin FOSP),SVM-lineal,0.9032,0.8934,0.0054,0.9204,0.004,8,150,25,125,727.3,135,True,,,,,0.9412,0.0048,0.9994,0.0004,0.8023,0.0128,0.9482,0.0037,0.6705,0.0146,0.03762591696896909,,,,,,,,,,,,,
B,comp+EEFGabor (sin FOSP),SVM-RBF,0.9291,0.9237,0.0036,0.9431,0.0027,8,150,30,120,106.1,121,True,,,,,0.9526,0.0072,0.9986,0.0007,0.8676,0.0071,0.9603,0.0056,0.7584,0.0164,,153.66573483573208,scale,,,,,,,,,,,
B,comp+EEFGabor (sin FOSP),SVM-polinomial,0.9285,0.9207,0.0048,0.9408,0.0036,8,150,29,121,82.3,128,True,,,,,0.9467,0.0052,0.9984,0.0004,0.8661,0.0089,0.9568,0.0039,0.7579,0.0184,,,,107.88171848175274,5,1.2411276443050574,,,,,,,,
B,comp+EEFGabor (sin FOSP),kNN,0.9053,0.9073,0.0032,0.9309,0.0024,8,150,44,106,16.6,120,False,,,,,0.9345,0.0046,0.993,0.0013,0.8564,0.0038,0.9393,0.0043,0.748,0.0097,,,,,,,3,distance,1,,,,,
B,comp+EEFGabor (sin FOSP),RandomForest,0.9226,0.9208,0.0033,0.9409,0.0025,8,150,43,107,603.3,137,True,,,,,0.9463,0.0029,0.9921,0.0011,0.87,0.0095,0.9538,0.0016,0.7904,0.0142,,,,,,,,,,412,28,2,1,0.3
C,FOSP+comp+EEFGabor (sin reducción),MLP,0.9203,0.917,0.0021,0.9381,0.0015,8,150,41,109,2077.0,144,True,178,87,0.06617188215891708,0.0005878885964063803,0.95,0.0045,0.9977,0.0011,0.856,0.0067,0.9565,0.0019,0.7441,0.0093,,,,,,,,,,,,,,
C,FOSP+comp+EEFGabor (sin reducción),SVM-lineal,0.9003,0.8915,0.0039,0.9189,0.0029,8,150,34,116,635.7,165,True,,,,,0.9373,0.005,0.9989,0.0006,0.8031,0.009,0.9447,0.0041,0.6702,0.0099,0.020366472618021096,,,,,,,,,,,,,
C,FOSP+comp+EEFGabor (sin reducción),SVM-RBF,0.932,0.9248,0.0045,0.9439,0.0033,8,150,33,117,128.7,147,True,,,,,0.9506,0.0053,0.9987,0.0004,0.872,0.0094,0.9595,0.0042,0.7666,0.0202,,15.199114575621179,auto,,,,,,,,,,,
C,FOSP+comp+EEFGabor (sin reducción),SVM-polinomial,0.9332,0.9224,0.0049,0.9421,0.0037,8,150,33,117,91.2,146,True,,,,,0.9458,0.0068,0.9979,0.0008,0.8719,0.0085,0.9556,0.0038,0.7711,0.0231,,,,60.74930208681569,5,0.8564904925372505,,,,,,,,
C,FOSP+comp+EEFGabor (sin reducción),kNN,0.9203,0.9227,0.0033,0.9424,0.0025,8,150,44,106,18.0,81,False,,,,,0.9418,0.0054,0.9962,0.0008,0.8807,0.0099,0.9509,0.0032,0.7826,0.0144,,,,,,,4,distance,1,,,,,
C,FOSP+comp+EEFGabor (sin reducción),RandomForest,0.9196,0.9127,0.0041,0.9349,0.003,8,150,59,91,819.6,199,True,,,,,0.9447,0.0043,0.9897,0.0016,0.8572,0.0117,0.9497,0.0033,0.7687,0.0181,,,,,,,,,,93,17,9,1,0.3
D,FOSP+comp+EEFGabor (SelectKBest k=60),MLP,0.9161,0.9085,0.0055,0.9318,0.0041,8,150,26,124,1276.6,,True,220,23,0.0392121405572039,0.0016183218415387341,0.948,0.0057,0.9938,0.002,0.8433,0.0129,0.9472,0.0035,0.7369,0.0236,,,,,,,,,,,,,,
D,FOSP+comp+EEFGabor (SelectKBest k=60),SVM-lineal,0.8845,0.8782,0.0032,0.9088,0.0025,8,150,35,115,273.0,,True,,,,,0.9302,0.0045,0.9957,0.001,0.7724,0.009,0.9337,0.003,0.6682,0.0092,0.11387478186170243,,,,,,,,,,,,,
D,FOSP+comp+EEFGabor (SelectKBest k=60),SVM-RBF,0.9167,0.9173,0.0027,0.9383,0.002,8,150,38,112,61.0,,False,,,,,0.9561,0.0065,0.9963,0.0013,0.8479,0.0058,0.9611,0.0039,0.7427,0.0126,,9.864073141759484,auto,,,,,,,,,,,
D,FOSP+comp+EEFGabor (SelectKBest k=60),SVM-polinomial,0.9143,0.9102,0.0051,0.933,0.0038,8,150,37,113,34.9,,False,,,,,0.945,0.0039,0.9972,0.0008,0.8434,0.0113,0.9514,0.0027,0.7309,0.02,,,,33.9515633258456,5,1.4497900943358857,,,,,,,,
D,FOSP+comp+EEFGabor (SelectKBest k=60),kNN,0.9101,0.9081,0.0026,0.9315,0.0019,8,150,59,91,15.8,,False,,,,,0.9309,0.0094,0.995,0.0008,0.8639,0.0069,0.937,0.0057,0.7426,0.0092,,,,,,,6,distance,1,,,,,
D,FOSP+comp+EEFGabor (SelectKBest k=60),RandomForest,0.9168,0.9113,0.0033,0.9338,0.0025,8,150,52,98,586.2,,True,,,,,0.9509,0.0035,0.9904,0.0013,0.8467,0.0115,0.9542,0.0026,0.7495,0.0153,,,,,,,,,,454,19,2,1,0.3
E,FOSP+comp+EEFGabor (Fisher Vector),MLP,0.9362,0.9245,0.0056,0.9437,0.0042,8,150,22,128,5356.7,,True,247,13,6.917264017916128e-05,0.0026999041209106837,0.9537,0.0038,0.9934,0.0013,0.8778,0.0122,0.9554,0.0034,0.7887,0.0257,,,,,,,,,,,,,,
E,FOSP+comp+EEFGabor (Fisher Vector),SVM-lineal,0.9185,0.9166,0.0036,0.9377,0.0027,8,150,39,111,4832.8,,False,,,,,0.9493,0.0038,0.9939,0.0012,0.862,0.011,0.9514,0.002,0.7644,0.0142,0.0024584865973744517,,,,,,,,,,,,,
E,FOSP+comp+EEFGabor (Fisher Vector),SVM-RBF,0.9349,0.926,0.0085,0.9449,0.0062,8,150,74,76,4757.8,,False,,,,,0.9549,0.006,0.9871,0.0054,0.885,0.0106,0.9597,0.0057,0.7985,0.021,,73.1672179863479,auto,,,,,,,,,,,
E,FOSP+comp+EEFGabor (Fisher Vector),SVM-polinomial,0.9432,0.9341,0.0048,0.9508,0.0036,8,150,33,117,3990.7,,True,,,,,0.96,0.0047,0.9932,0.0012,0.8893,0.0123,0.9659,0.0038,0.8119,0.0168,,,,2.228421817201671,4,0.37462971106897897,,,,,,,,
E,FOSP+comp+EEFGabor (Fisher Vector),kNN,0.9369,0.9251,0.005,0.944,0.0037,8,150,63,87,3918.0,,True,,,,,0.9516,0.0048,0.9937,0.002,0.8805,0.0118,0.9562,0.003,0.7969,0.0164,,,,,,,4,distance,2,,,,,
E,FOSP+comp+EEFGabor (Fisher Vector),RandomForest,0.9126,0.9066,0.0026,0.9303,0.0019,8,150,48,102,6778.8,,True,,,,,0.9339,0.0055,0.9902,0.0019,0.859,0.0072,0.9398,0.0037,0.7522,0.0147,,,,,,,,,,490,23,3,1,0.3
